Gene	TCGA-A6-3807	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3526	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3552	TCGA-AA-3554	TCGA-AA-3561	TCGA-AA-3664	TCGA-AA-3666	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3818	TCGA-AA-3848	TCGA-AA-3864	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A004	TCGA-AA-A00A	TCGA-AA-A00E	TCGA-AA-A00F	TCGA-AA-A00J	TCGA-AA-A00K	TCGA-AA-A00N	TCGA-AA-A00O	TCGA-AA-A00R	TCGA-AA-A00U	TCGA-AA-A010	TCGA-AA-A017	TCGA-AA-A01C	TCGA-AA-A01D	TCGA-AA-A01F	TCGA-AA-A01I	TCGA-AA-A01K	TCGA-AA-A024	TCGA-AA-A029	TCGA-AA-A02E	TCGA-AA-A02H	TCGA-AA-A02J	TCGA-AA-A02R	TCGA-AF-2691	TCGA-AF-2692	TCGA-AF-3400	TCGA-AF-3913	TCGA-AG-3574	TCGA-AG-3580	TCGA-AG-3584	TCGA-AG-3593	TCGA-AG-3594	TCGA-AG-4007	TCGA-AG-A002	TCGA-AG-A008	TCGA-AG-A00C	TCGA-AG-A00H	TCGA-AG-A00Y	TCGA-AG-A011	TCGA-AG-A014	TCGA-AG-A015	TCGA-AG-A016	TCGA-AG-A01J	TCGA-AG-A01L	TCGA-AG-A01N	TCGA-AG-A02X	TCGA-AG-A032
DUSP23	-0.489237	0.245947	0.245947	-0.489237	-0.489237	0.245947	0.245947	-0.489237	1.17217	0.767569	1.17217	0.767569	-1.74604	-1.74604	-1.74604	-0.489237	-1.74604	-1.74604	1.17217	1.17217	-0.489237	-1.74604	0.245947	-0.489237	0.767569	-1.74604	0.767569	0.767569	-0.489237	0.767569	-1.74604	1.17217	-1.74604	0.767569	0.767569	-0.489237	0.767569	0.245947	0.245947	0.245947	0.767569	1.50275	0.245947	-0.489237	0.245947	0.245947	1.50275	-0.489237	0.245947	-0.489237	-1.74604	0.245947	0.245947	0.767569	1.17217	-1.74604	0.245947	0.767569	0.245947	1.17217	1.17217	0.245947	0.767569	0.767569	-1.74604	0.245947	0.245947	0.767569	-1.74604
DUSP3	0.358583	1.96622	0.956739	-0.484469	-0.020504	0.358583	0.679097	-0.484469	0.679097	0.358583	-0.484469	-0.484469	-0.020504	-0.020504	-0.484469	-0.484469	-1.92568	1.61888	-0.020504	0.358583	0.358583	0.358583	-0.484469	1.20164	0.956739	0.679097	-1.92568	1.61888	-0.239572	1.4207	0.822549	-0.484469	-0.484469	0.358583	0.679097	1.61888	-1.08262	-1.08262	1.20164	-1.08262	-1.08262	-0.484469	-0.484469	-1.08262	-0.020504	-3.36689	1.4207	-1.08262	1.20164	0.679097	0.679097	0.956739	1.20164	-0.020504	0.679097	-0.020504	0.358583	-1.08262	0.358583	-0.484469	-0.020504	-0.484469	-0.484469	-0.484469	0.679097	-1.92568	-0.020504	-1.92568	-0.484469
DUT	-2.07946	-0.787866	0.919528	-0.032332	-0.032332	0.503728	0.503728	0.254909	0.254909	0.254909	0.723202	-0.032332	0.723202	1.25926	0.254909	0.723202	-0.032332	-0.787866	1.79532	0.503728	-1.32393	0.919528	-0.032332	0.616694	-0.372065	-0.372065	-0.372065	-0.032332	-0.372065	1.90829	0.919528	0.503728	-0.787866	-0.787866	0.919528	-3.37105	-2.07946	1.40841	-0.787866	-0.372065	-0.372065	0.254909	-0.032332	1.25926	0.503728	-0.372065	0.254909	-1.32393	0.723202	1.40841	-0.372065	-0.372065	0.723202	0.919528	-1.32393	0.503728	-0.032332	0.503728	0.616694	0.723202	0.503728	0.503728	-2.07946	-0.372065	0.254909	-0.372065	0.503728	-2.07946	-2.07946
DYNC1H1	0.561382	0.000281113	0.086847	-1.4877	0.253128	0.891984	-0.0662475	-0.203692	0.468265	0.505844	-0.498078	0.10812	-0.203692	-0.250878	0.150239	1.14568	-3.55864	0.722331	0.957357	1.27986	0.293357	0.579678	0.70485	-0.250878	0.651815	0.468265	-1.12204	-0.602682	-1.78324	0.086847	1.01346	1.00551	0.739715	0.615954	1.11507	-2.47375	-0.656321	0.171089	-0.203692	0.561382	1.176	0.150239	-1.74474	-0.683488	-0.629387	-1.0599	1.3804	-0.851626	0.989541	1.23577	0.293357	0.908455	-1.66912	0.957357	-0.82297	-0.766431	0.722331	-2.19671	0.515169	1.06858	0.0438626	0.487111	0.449305	-0.347434	0.524466	0.615954	0.150239	-1.18543	-1.4877
DYNC1I2	-0.202283	-0.202283	-0.202283	0.347241	-0.202283	0.347241	0.796234	-0.202283	-0.202283	-0.202283	-0.202283	-0.202283	1.50469	0.347241	-0.202283	0.796234	-3.61623	0.347241	-0.202283	0.796234	-0.910742	0.796234	-0.910742	-0.910742	-0.910742	-0.202283	-0.202283	0.347241	-0.910742	-0.202283	0.993351	1.50469	-0.202283	0.347241	-0.910742	-0.910742	-0.202283	0.347241	-0.202283	-1.90926	0.796234	-0.202283	0.796234	0.796234	0.347241	0.796234	0.347241	-0.910742	1.17585	0.347241	1.50469	-0.202283	0.796234	0.347241	-1.90926	1.17585	-1.90926	-1.90926	0.347241	1.50469	-0.202283	1.50469	1.17585	0.347241	-0.910742	-1.90926	1.79475	-0.910742	0.796234
DYNC1LI1	-1.17199	-2.39596	0.0519726	0.767946	0.767946	1.04015	0.446001	0.0519726	1.04015	-1.17199	0.446001	0.446001	0.767946	0.767946	-1.17199	0.0519726	-1.17199	1.27594	1.27594	1.27594	1.27594	0.446001	-1.17199	0.259955	0.767946	0.446001	0.0519726	-1.17199	-1.17199	0.446001	1.27594	1.04015	-0.456019	1.04015	0.0519726	-1.17199	-2.39596	0.0519726	-1.17199	0.0519726	1.04015	0.767946	-2.39596	-0.456019	0.0519726	-1.17199	0.767946	-0.456019	0.767946	1.83826	-0.456019	-1.17199	0.0519726	-0.456019	-0.456019	0.446001	-0.456019	-1.17199	0.259955	1.48392	0.446001	0.0519726	-0.456019	-1.17199	0.446001	1.04015	1.27594	-1.17199	-1.17199
DYNC1LI2	1.05687	0.825648	-0.375421	-1.26953	-0.020585	0.292402	-0.375421	-1.8625	0.292402	1.05687	-0.785048	-0.785048	-0.375421	-0.785048	-0.020585	0.572379	-3.70441	-0.020585	0.572379	0.292402	-0.375421	1.26956	-0.020585	-1.01627	1.05687	-0.020585	-0.020585	-0.192084	-1.01627	-0.785048	0.292402	-0.020585	0.825648	0.292402	1.46649	-0.785048	-0.375421	0.292402	0.825648	-0.020585	1.82133	0.825648	-0.785048	-2.62696	-0.020585	-0.375421	1.05687	-0.020585	1.82133	0.572379	0.572379	1.05687	-1.26953	1.98243	-0.375421	-0.020585	-0.375421	-0.785048	0.572379	1.26956	0.292402	-0.020585	1.64983	-0.020585	0.292402	-0.785048	-0.020585	-1.26953	-1.26953
DYNLL1	0.141886	0.141886	0.141886	-1.7683	1.34708	0.642086	-1.7683	0.642086	0.141886	-0.563106	1.34708	-0.563106	0.642086	0.141886	0.642086	0.141886	-1.7683	-0.563106	-1.7683	0.141886	0.141886	-0.563106	1.6151	-0.175121	0.642086	-1.7683	-0.563106	-0.175121	-0.563106	0.642086	0.846878	0.642086	-0.563106	0.642086	1.84728	-0.563106	0.642086	-0.563106	-0.563106	-1.7683	1.6151	0.642086	-0.563106	-1.7683	0.642086	0.642086	0.642086	0.642086	1.6151	1.34708	-1.7683	-0.563106	-1.7683	0.642086	-0.563106	0.141886	-0.563106	0.141886	0.642086	2.05207	-0.563106	-0.563106	0.642086	1.03007	-0.563106	1.03007	-1.7683	0.141886	-0.563106
DYSF	1.0575	-1.07085	0.381975	-1.07085	1.0575	0.381975	-0.154218	0.762411	-1.07085	1.67904	-1.07085	0.762411	0.381975	1.2986	0.381975	1.50246	-1.07085	-0.154218	-0.154218	-0.154218	-1.07085	-0.154218	-1.07085	0.14087	-0.154218	-1.07085	-0.154218	1.18354	1.2986	1.8348	1.0575	-1.07085	-1.07085	-0.154218	-1.07085	-1.07085	0.381975	0.381975	2.10017	-1.07085	-1.07085	-1.07085	-1.07085	-1.07085	-1.07085	1.0575	0.762411	1.0575	-1.07085	-1.07085	0.762411	-0.154218	0.381975	0.762411	1.0575	1.0575	-1.07085	-1.07085	1.97413	-0.154218	-1.07085	1.0575	-1.07085	0.381975	1.0575	-1.07085	1.0575	-1.07085	-1.07085
EBNA1BP2	-0.710372	-0.710372	-0.0877077	-0.710372	0.696756	-1.77482	1.59941	-0.710372	0.976744	-1.77482	0.35408	1.59941	0.976744	0.35408	-0.0877077	0.696756	-0.0877077	-1.77482	0.35408	1.41853	-0.0877077	0.35408	-0.710372	0.696756	0.696756	-0.710372	0.696756	-1.77482	-1.77482	-1.77482	0.534957	1.41853	-1.77482	-0.710372	-0.0877077	-0.710372	0.696756	0.35408	-0.710372	-0.0877077	1.41853	1.41853	0.696756	-0.710372	-0.710372	0.35408	0.35408	-1.77482	-0.710372	-1.77482	0.976744	1.21347	0.696756	0.35408	-0.710372	-0.0877077	0.696756	-0.0877077	0.976744	1.41853	-1.77482	0.35408	0.35408	-0.710372	-0.0877077	0.696756	1.41853	0.696756	-0.0877077
EBP	0.986473	-1.65252	0.389285	-0.631616	-0.631616	0.717941	0.717941	-0.631616	-0.631616	1.87922	-0.0344273	-0.0344273	1.21351	0.717941	-1.65252	0.389285	-1.65252	-0.631616	1.73884	1.58366	-1.65252	1.58366	-0.631616	0.192613	0.986473	-1.65252	-0.631616	-0.631616	-0.0344273	-0.631616	0.389285	-0.631616	-0.0344273	0.986473	-0.631616	-0.631616	-0.631616	2.00737	1.41018	-1.65252	1.21351	0.717941	-0.0344273	-0.631616	-0.0344273	-0.0344273	0.986473	-0.0344273	0.389285	1.41018	1.21351	-0.631616	0.389285	1.21351	-1.65252	-1.65252	-1.65252	-0.0344273	0.192613	-0.0344273	-0.0344273	0.717941	0.986473	-0.0344273	-0.0344273	-0.631616	-0.631616	-1.65252	0.389285
ECH1	1.01053	-0.0298516	-0.236429	-2.39044	0.15702	-0.130421	0.32762	0.407659	-1.59546	-0.729173	-0.593901	0.558554	1.1226	-1.03141	0.952002	-0.130421	-2.39044	-1.03141	-1.20201	-0.130421	-0.874474	0.244175	1.56011	-0.951373	0.244175	0.244175	-0.130421	-0.407029	-1.29322	3.23997	0.111945	0.698661	0.698661	1.1226	1.22861	-2.0882	0.244175	0.484557	-0.0298516	0.698661	0.952002	0.244175	1.60321	-0.236429	0.558554	-0.130421	0.15702	-1.59546	-0.130421	-1.38888	-1.38888	0.952002	0.558554	0.829421	0.15702	-1.38888	0.0658097	-0.236429	0.698661	1.56011	-0.236429	0.0658097	1.1226	-0.236429	0.0658097	0.32762	0.558554	-0.874474	-0.593901
ECHDC1	0.121669	1.04872	1.26993	-2.17485	0.121669	0.649216	0.649216	-0.0995382	0.491326	-1.02659	0.491326	1.72041	-0.354903	-1.50316	1.04872	0.121669	-3.32311	-1.02659	0.121669	-1.50316	0.121669	0.925956	0.793358	0.925956	0.121669	-0.656935	0.121669	0.222099	-2.17485	0.316787	-0.831474	0.316787	0.121669	1.04872	0.925956	-2.17485	0.925956	1.16302	-0.656935	0.491326	0.649216	0.925956	0.121669	-1.02659	0.649216	0.316787	0.316787	-1.02659	-1.02659	-2.17485	0.316787	-0.354903	-0.0995382	-0.0995382	0.649216	-1.02659	0.491326	0.491326	0.793358	1.79748	-0.354903	-0.0995382	1.37036	0.121669	-0.0995382	0.491326	0.121669	-1.02659	-0.0995382
ECHS1	0.322857	-0.304831	0.472318	-1.55524	-0.202783	0.805012	0.0765061	-0.202783	0.678211	-0.202783	-0.202783	-0.202783	0.678211	-0.01251	0.805012	0.243921	-4.27278	-0.304831	0.678211	-0.304831	-0.01251	0.472318	0.924562	0.577797	-0.64475	0.0765061	0.398922	-0.977444	-2.09451	2.45971	0.243921	0.865641	0.742572	0.865641	0.322857	-1.37326	0.0765061	0.805012	0.472318	0.543225	1.29619	0.678211	1.48223	0.543225	0.472318	-0.304831	-0.105484	-2.22131	-0.525199	0.742572	-0.01251	0.161888	0.243921	0.398922	-1.37326	-1.05084	-0.105484	0.0765061	-0.0584803	0.611807	-0.202783	0.543225	0.924562	-0.525199	-0.01251	0.472318	-0.01251	-2.82302	-1.05084
ECI1	-0.507089	-1.11205	0.527097	-0.0778628	-0.0778628	-0.507089	0.956323	-0.0778628	-0.507089	-1.11205	-0.507089	0.956323	-1.11205	-0.507089	0.956323	-0.507089	-1.11205	-0.0778628	-0.0778628	-1.11205	-0.0778628	-1.11205	1.89422	0.646522	0.255071	1.13206	0.757092	-0.507089	-2.14623	2.59547	0.757092	0.255071	1.13206	0.255071	1.79128	-0.507089	-2.14623	0.255071	-1.11205	1.56128	0.757092	1.13206	0.527097	-1.11205	1.13206	-2.14623	-0.0778628	-0.0778628	-0.0778628	1.79128	-0.507089	-0.507089	0.527097	0.255071	-1.11205	-0.507089	0.527097	-1.11205	0.527097	1.13206	0.757092	-0.0778628	-0.0778628	-1.11205	-0.507089	0.956323	1.13206	-1.11205	-1.11205
ECI2	1.2416	0.00837539	1.52217	0.370088	-0.501429	0.370088	0.650653	0.879892	1.2416	0.370088	-1.37295	1.52217	0.879892	-1.37295	1.07371	0.00837539	-0.501429	-1.37295	0.00837539	0.879892	0.00837539	-1.37295	1.64201	-0.501429	0.00837539	-1.37295	-0.501429	-1.37295	-0.501429	-0.501429	1.31783	0.879892	1.52217	0.00837539	1.3897	-0.501429	-1.37295	0.370088	1.2416	0.879892	-0.501429	0.00837539	1.07371	-1.37295	1.75141	-0.501429	0.00837539	-1.37295	0.00837539	1.75141	-1.37295	-0.501429	0.370088	1.2416	-0.501429	-0.501429	0.650653	-1.37295	-0.220863	0.00837539	0.879892	-1.37295	-1.37295	-1.37295	0.650653	-0.501429	0.00837539	-1.37295	-1.37295
ECM1	-0.492971	0.560612	-0.492971	1.95337	-0.492971	-0.492971	-0.492971	0.560612	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	0.560612	-0.492971	0.560612	0.560612	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	2.2305	-0.492971	0.560612	1.17692	-0.492971	2.35217	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	2.46481	-0.492971	-0.492971	-0.492971	-0.492971	2.66778	1.6142	-0.492971	4.45933	-0.492971	-0.492971	-0.492971	-0.492971	-0.492971	1.17692	-0.492971	-0.492971	0.560612	-0.492971	-0.492971	-0.492971	-0.492971	0.560612	-0.492971	0.560612	-0.492971	-0.492971	-0.492971
EDC4	0.478067	0.13002	0.478067	-2.94235	0.13002	-0.845131	0.13002	-1.61915	0.478067	-0.295955	0.13002	-0.295955	1.25209	1.45322	-0.295955	0.478067	-0.845131	-0.845131	1.45322	-0.845131	-0.295955	1.45322	-0.295955	0.311964	0.478067	-0.295955	0.478067	-0.845131	-1.61915	1.63516	-0.0711103	1.02724	-1.61915	1.45322	0.772336	-2.94235	0.478067	-0.295955	-1.61915	0.13002	0.13002	0.478067	-0.845131	1.02724	-0.295955	0.13002	1.25209	-1.61915	0.772336	-1.61915	-0.845131	0.478067	0.13002	-0.295955	0.13002	0.478067	0.772336	0.13002	-0.0711103	1.25209	0.478067	1.45322	-0.295955	0.772336	-0.295955	0.478067	1.45322	-0.845131	-0.845131
EDEM3	0.169119	0.169119	0.169119	-1.22683	0.169119	-1.22683	0.169119	-1.22683	-1.22683	0.169119	0.985697	0.985697	0.169119	-1.22683	-1.22683	2.6921	-1.22683	-1.22683	0.169119	0.985697	-1.22683	0.169119	0.985697	0.169119	1.56507	-1.22683	0.169119	0.169119	0.169119	0.169119	-1.22683	0.169119	0.169119	0.985697	0.169119	-1.22683	1.56507	0.169119	-1.22683	0.985697	0.985697	0.169119	-1.22683	-1.22683	-1.22683	0.169119	0.985697	-1.22683	-1.22683	0.169119	-1.22683	0.169119	1.56507	0.985697	0.985697	0.169119	-1.22683	0.169119	0.618514	0.985697	0.169119	-1.22683	2.01446	0.985697	-1.22683	0.985697	0.985697	0.169119	-1.22683
EDF1	-0.832985	-0.832985	0.209472	-0.832985	-0.832985	0.209472	-0.832985	-0.832985	0.949108	0.209472	0.949108	-2.61508	1.52281	0.209472	-0.832985	1.52281	0.949108	0.209472	0.949108	0.949108	-0.832985	1.52281	-0.832985	-0.259279	-0.832985	-2.61508	-0.832985	-0.832985	-0.259279	0.949108	0.949108	1.52281	-0.832985	1.52281	0.209472	-0.832985	-0.832985	0.209472	0.209472	0.949108	0.949108	0.949108	-0.832985	-0.832985	-0.832985	1.52281	-0.832985	-0.832985	-0.832985	0.949108	0.209472	0.209472	-0.832985	0.209472	0.209472	0.209472	0.949108	2.38789	0.209472	0.209472	0.209472	0.209472	0.209472	0.209472	0.209472	0.209472	0.209472	-2.61508	-0.832985
EEA1	-0.859335	-0.53184	-0.53184	-2.10999	1.18039	0.257234	0.894297	0.105223	0.105223	-0.859335	-0.277815	0.105223	-0.859335	-0.277815	-0.277815	-0.0702613	-2.10999	0.894297	1.04631	-2.10999	0.511259	0.105223	-0.0702613	-0.0702613	-0.0702613	0.391317	0.511259	0.619759	-0.859335	1.96946	-0.169314	0.257234	-0.53184	1.55436	1.18039	-2.10999	0.105223	1.45944	-0.0702613	0.257234	1.79924	0.619759	0.511259	-0.277815	0.105223	-0.859335	0.619759	-2.10999	-2.10999	1.68337	-2.10999	-0.53184	-1.32091	-0.53184	0.391317	-0.859335	0.894297	0.511259	0.670363	1.18039	0.511259	-0.277815	0.894297	0.391317	0.391317	0.257234	1.30033	0.105223	-0.53184
EEF1A1	0.627484	-0.316001	-0.143613	-0.984187	0.949446	0.338847	1.66951	0.338847	0.578528	-0.452134	-0.452134	0.723059	0.963946	0.443925	0.284892	0.963946	0.266688	-0.0610026	0.284892	1.60014	0.478147	0.0391546	0.495113	-0.0917149	1.81452	0.391847	-1.21464	-1.9395	-1.80889	0.409307	1.13952	1.30537	0.229947	1.09139	0.611254	-2.69477	-1.18484	-0.744505	-0.293902	0.0193894	1.39438	-0.429011	-0.693751	0.769726	-0.71902	-1.80889	-0.293902	-0.956588	0.192748	0.659683	0.173974	-0.185788	0.0587902	0.890729	-1.27514	-0.744505	0.320969	-1.66627	0.603106	1.45638	-0.360695	0.374284	1.22691	-1.56359	0.769726	-0.143613	0.284892	-1.77259	-2.2402
EEF1B2	-0.479929	-0.372287	-0.842911	-1.65015	-0.593725	0.537068	2.0764	-0.593725	0.665557	-0.270168	-1.12781	0.72682	1.00769	0.90005	-0.372287	-0.593725	-0.0804162	-0.593725	1.10981	0.843965	-1.28717	0.72682	0.00808234	-0.270168	1.91705	0.399711	-0.842911	-1.05267	-2.0944	0.00808234	0.843965	1.10981	-0.593725	1.05941	1.43088	-1.85991	0.0928138	0.0928138	0.537068	-0.714422	1.63215	-0.372287	0.327307	0.537068	0.954598	-1.4604	-0.980268	-1.65015	0.90005	-0.372287	-0.479929	2.1953	0.537068	0.665557	-1.12781	-1.12781	-0.270168	0.72682	0.90005	2.43939	-0.842911	-0.479929	0.0928138	-0.270168	-0.479929	-0.593725	-0.173032	-1.28717	0.25217
EEF1D	-0.080518	0.2934	-0.634815	-2.05874	0.914766	1.24126	-0.39931	-0.892782	1.11535	0.112893	0.2934	0.844461	0.621875	-0.892782	-0.288821	0.462618	0.698123	-0.634815	-0.080518	0.112893	-0.892782	0.204651	0.844461	-0.080518	1.58725	-0.892782	-2.05874	-1.41346	-0.343502	0.914766	0.421295	1.74496	0.204651	1.17903	0.698123	-3.37282	-0.182666	0.379331	-0.39931	-0.39931	1.47676	0.914766	-0.634815	1.74496	-0.39931	0.772281	0.0179147	-0.760726	0.844461	1.05012	-0.080518	1.24126	0.621875	0.0179147	-1.03161	-1.03161	-0.514502	-0.892782	0.808612	1.17903	-0.892782	0.2934	0.462618	-0.760726	-0.182666	-0.080518	0.698123	-2.27538	-1.49674
EEF1E1	-2.65378	0.526868	1.03884	-0.133177	-1.06346	-0.133177	1.45715	-1.06346	0.526868	-0.133177	0.526868	-0.133177	1.45715	1.45715	-1.06346	0.526868	0.526868	-1.06346	-0.133177	0.526868	0.526868	1.45715	-0.133177	-1.06346	1.03884	-0.133177	-0.133177	-1.06346	-2.65378	-1.06346	-0.133177	1.03884	-1.06346	0.526868	1.03884	-1.06346	1.45715	1.45715	-0.133177	0.526868	-1.06346	-0.133177	-1.06346	-0.133177	-0.133177	-0.133177	-0.133177	-1.06346	0.526868	-0.133177	0.526868	-1.06346	-1.06346	-1.06346	-0.133177	-2.65378	-0.133177	1.03884	0.526868	1.45715	1.45715	0.526868	0.526868	0.526868	-1.06346	0.526868	1.03884	0.526868	0.526868
EEF1G	0.769369	-1.09049	-0.0508495	-0.477184	-0.477184	1.40558	-0.667329	-0.978671	-0.0508495	-0.667329	0.455742	-0.29893	1.84508	0.709343	-1.32823	0.709343	0.455742	-0.0508495	2.18993	2.43199	0.103303	0.709343	-0.29893	0.455742	0.388654	1.67732	-1.32823	-2.0271	-1.52051	0.769369	1.61178	1.54469	-0.213816	1.25934	0.319949	-1.09049	-0.978671	-1.20688	-0.0508495	-0.667329	-0.213816	-0.667329	-0.0508495	-1.5876	-0.213816	0.177363	-0.213816	-0.871068	1.54469	0.455742	1.9254	0.455742	0.388654	-0.667329	-0.131168	-0.0508495	-0.477184	-0.667329	0.709343	0.177363	0.177363	0.319949	0.0272685	-0.767379	0.388654	-0.871068	-1.32823	-2.36292	0.103303
EEF2	0.0178989	-0.763026	0.567461	-1.38419	-0.599065	-0.176209	-0.72963	0.473596	-0.321578	-0.29203	0.791917	0.899093	-0.147829	-0.29203	-0.763026	1.84101	-1.5059	1.46456	1.69175	1.98432	0.202048	0.81361	0.520835	0.163375	2.298	-0.00919651	-0.351372	-2.31217	-1.38419	0.202048	0.437754	1.48256	0.124281	1.75886	0.81361	-2.72214	-0.442266	-0.321578	0.0178989	-0.473083	1.99989	-0.599065	-0.830767	0.613489	-0.233652	-0.0640087	0.726041	-0.204816	-0.233652	0.681443	0.227601	-0.0917318	0.0178989	0.636283	-1.22807	-0.830767	0.636283	-0.830767	0.485464	0.877912	-0.233652	0.520835	0.377211	-1.4243	-0.351372	-0.504166	-1.19008	-1.76244	-0.763026
EFEMP1	0.281796	1.01943	0.43026	-1.76269	0.43026	1.52559	1.01943	0.43026	-0.0630565	-1.51112	-0.500858	-0.26732	-0.631486	-2.4244	0.808556	0.281796	1.4514	2.15063	0.202171	-0.773487	-0.0630565	0.030225	0.751288	-0.500858	-0.929032	-0.631486	0.281796	-0.26732	-0.500858	1.72986	-0.379915	0.357716	-1.10098	0.630345	0.499717	-0.0630565	-1.76269	0.751288	-0.0630565	0.202171	-0.773487	1.24966	-0.379915	0.357716	0.357716	-2.89389	0.751288	0.030225	1.63092	-0.26732	-2.06023	0.863883	0.202171	0.499717	0.499717	-1.76269	-0.631486	-0.0630565	0.202171	0.499717	-0.773487	-0.631486	1.16143	-0.26732	1.11545	0.751288	1.29206	-0.929032	-1.10098
EFEMP2	-1.22571	1.50483	-0.253074	-1.22571	0.315882	1.28852	0.315882	0.315882	-0.253074	-1.22571	-0.253074	-0.253074	-1.22571	-1.22571	0.315882	-0.253074	0.315882	2.26115	0.719563	0.315882	-0.253074	0.315882	0.315882	0.0600454	-1.22571	0.315882	0.315882	0.0600454	-0.253074	1.03268	0.719563	-0.253074	-1.22571	0.315882	-0.253074	-1.22571	-1.22571	0.315882	0.315882	1.6922	-1.22571	1.50483	-1.22571	-0.253074	-0.253074	-1.22571	1.50483	1.03268	1.85747	1.50483	-1.22571	-0.253074	-1.22571	-1.22571	0.315882	-1.22571	0.315882	-0.253074	-0.253074	-1.22571	-1.22571	-0.253074	0.719563	1.03268	1.6922	1.6922	1.6922	-1.22571	-1.22571
EFHD2	-0.496562	-1.52634	-0.20569	-1.52634	0.318418	0.065106	0.780714	-1.52634	0.065106	0.065106	1.19425	0.992927	0.065106	0.318418	0.556369	1.74281	-0.810728	-0.20569	-0.20569	1.19425	0.065106	0.318418	0.556369	0.556369	0.556369	0.065106	0.780714	-0.977773	-2.16422	0.780714	0.439196	0.992927	0.780714	2.37216	0.065106	-1.52634	0.318418	0.556369	-1.15225	0.992927	1.56834	0.556369	-1.15225	-1.52634	-0.496562	-0.20569	0.318418	0.065106	-2.40217	-1.52634	0.780714	-0.496562	-0.20569	0.992927	-1.52634	-0.20569	-1.15225	0.556369	1.09488	0.065106	0.556369	1.56834	0.065106	-0.496562	0.780714	0.780714	-0.496562	-1.15225	-1.93987
EFTUD1	0.07471	0.07471	1.9082	0.07471	-0.997811	0.07471	0.07471	0.835676	1.42593	0.835676	-0.997811	0.835676	0.835676	0.835676	2.31595	0.07471	-2.8313	-0.997811	0.07471	-0.997811	0.07471	0.07471	-0.997811	0.835676	1.42593	0.07471	0.07471	0.07471	-0.40756	0.07471	-0.40756	0.07471	0.07471	0.835676	0.835676	-0.997811	0.07471	0.07471	0.07471	0.835676	-0.997811	0.07471	0.835676	-0.997811	-0.997811	0.07471	0.07471	-0.997811	0.07471	0.07471	0.07471	0.835676	0.07471	1.42593	0.07471	0.835676	-0.997811	-2.8313	0.07471	0.835676	0.07471	-0.997811	0.835676	-0.997811	-0.997811	1.9082	-2.8313	-0.997811	0.07471
EFTUD2	-0.454464	0.0832546	0.43063	-2.21766	-0.310567	0.43063	1.27909	-0.310567	0.0832546	0.319323	0.319323	1.43855	0.741368	0.641383	-0.933778	1.27909	-1.5064	0.0832546	0.931711	1.27909	-0.0422658	0.319323	-0.310567	0.6918	0.838075	0.319323	0.0832546	-2.65003	-2.80949	-0.0422658	0.790118	1.02247	-1.72496	1.80312	0.641383	-2.80949	-0.310567	0.537889	0.319323	-0.765202	0.741368	-0.765202	0.43063	0.20365	0.319323	-0.0422658	1.196	-1.11258	0.537889	-1.72496	0.931711	1.02247	0.319323	0.741368	-0.605742	-1.11258	0.537889	-0.933778	-0.0422658	0.537889	0.0832546	0.931711	0.641383	-0.454464	-0.0422658	-0.173367	-0.454464	-1.30292	0.0832546
EGFR	1.29932	-1.38835	-0.230834	-1.38835	-1.38835	0.44627	-1.38835	-0.230834	-0.230834	-0.230834	1.29932	1.29932	0.44627	0.44627	1.29932	0.44627	-1.38835	-0.230834	-0.230834	-0.230834	-1.38835	0.44627	1.60379	-0.230834	0.44627	0.44627	-0.230834	0.44627	-0.230834	-0.230834	-0.230834	-1.38835	0.44627	1.60379	0.926682	-1.38835	0.926682	-0.230834	-0.230834	-1.38835	1.60379	-0.230834	0.44627	-1.38835	-0.230834	0.44627	0.926682	0.44627	-1.38835	2.45684	-1.38835	1.86121	-1.38835	1.29932	0.44627	0.44627	-1.38835	-1.38835	0.926682	-0.230834	-0.230834	0.44627	1.29932	-0.230834	-1.38835	0.44627	0.44627	-1.38835	-0.230834
EHBP1L1	-0.987373	-0.987373	1.03406	-0.987373	1.97397	0.288009	0.288009	-0.987373	0.288009	1.03406	-0.987373	-0.987373	1.03406	-0.987373	1.03406	1.03406	-0.987373	-0.987373	1.03406	-0.987373	1.03406	0.288009	0.288009	1.03406	0.288009	-0.987373	-0.987373	1.03406	-0.987373	-0.987373	1.56339	-0.987373	-0.987373	-0.987373	0.288009	-0.987373	0.288009	-0.987373	-0.987373	0.288009	0.288009	-0.987373	1.03406	-0.987373	1.03406	0.288009	1.03406	-0.987373	1.03406	2.30944	-0.987373	0.288009	-0.987373	0.288009	1.56339	-0.987373	-0.987373	0.288009	0.69859	1.56339	-0.987373	-0.987373	0.288009	0.288009	0.288009	-0.987373	2.30944	-0.987373	0.288009
